screen,protein_1,protein_2,iLIS_best,iLIS_avg,ipTM_best,ipTM_avg,bundle
POU2F1,NBN,KPNA4,0.5808,0.5198,0.74,0.708,POU2F1/NBN___KPNA4.zip
POU2F1,ERLIN1,ERLIN2,0.5481,0.4188,0.6,0.528,POU2F1/ERLIN1___ERLIN2.zip
POU2F1,KPNA4,STIP1,0.5259,0.4296,0.7,0.636,POU2F1/KPNA4___STIP1.zip
POU2F1,ACTR2,POU2F1,0.4899,0.2651,0.8,0.648,POU2F1/ACTR2___POU2F1.zip
POU2F1,MRPL12,ENO1,0.4895,0.0979,0.76,0.272,POU2F1/MRPL12___ENO1.zip
POU2F1,MRPL12,CDC37,0.4613,0.1473,0.4,0.246,POU2F1/MRPL12___CDC37.zip
POU2F1,BOP1,KPNA4,0.46,0.3309,0.67,0.612,POU2F1/BOP1___KPNA4.zip
POU2F1,EPB41,KPNA4,0.4528,0.3574,0.65,0.578,POU2F1/EPB41___KPNA4.zip
POU2F1,EPB41,ACTR2,0.4508,0.0902,0.83,0.364,POU2F1/EPB41___ACTR2.zip
POU2F1,KPNA4,CDK12,0.4164,0.263,0.69,0.586,POU2F1/KPNA4___CDK12.zip
POU2F1,FUS,POU2F1,0.4035,0.1465,0.27,0.21,POU2F1/FUS___POU2F1.zip
POU2F1,ACTR2,SAMM50,0.4034,0.2465,0.81,0.564,POU2F1/ACTR2___SAMM50.zip
POU2F1,MTARC1,COX5B,0.3965,0.207,0.53,0.344,POU2F1/MTARC1___COX5B.zip
POU2F1,SEPTIN2,KPNA4,0.3952,0.1385,0.63,0.35,POU2F1/SEPTIN2___KPNA4.zip
POU2F1,PSPC1,KPNA4,0.383,0.2196,0.6,0.472,POU2F1/PSPC1___KPNA4.zip
POU2F1,BUB3,PRPF19,0.3777,0.1853,0.71,0.536,POU2F1/BUB3___PRPF19.zip
POU2F1,NBN,SAMM50,0.3763,0.0919,0.68,0.324,POU2F1/NBN___SAMM50.zip
POU2F1,NOP2,COX5B,0.3739,0.0748,0.46,0.25,POU2F1/NOP2___COX5B.zip
POU2F1,NOP2,KPNA4,0.3686,0.2884,0.64,0.594,POU2F1/NOP2___KPNA4.zip
POU2F1,NBN,SEC31A,0.3654,0.1873,0.35,0.332,POU2F1/NBN___SEC31A.zip
POU2F1,BUB3,SETD1A,0.3552,0.2531,0.73,0.702,POU2F1/BUB3___SETD1A.zip
POU2F1,NBN,POU2F1,0.3463,0.0722,0.37,0.23,POU2F1/NBN___POU2F1.zip
POU2F1,COX5B,CDK12,0.3462,0.2138,0.54,0.462,POU2F1/COX5B___CDK12.zip
POU2F1,BOP1,POU2F1,0.3456,0.0691,0.24,0.202,POU2F1/BOP1___POU2F1.zip
POU2F1,MRPL12,KPNA4,0.3454,0.1338,0.48,0.306,POU2F1/MRPL12___KPNA4.zip
POU2F1,NBN,SETD1A,0.3436,0.2323,0.31,0.302,POU2F1/NBN___SETD1A.zip
POU2F1,NOP2,PRPF19,0.3412,0.161,0.5,0.404,POU2F1/NOP2___PRPF19.zip
POU2F1,EPB41,CDK12,0.3389,0.2998,0.45,0.426,POU2F1/EPB41___CDK12.zip
POU2F1,RAD50,CDC37,0.3373,0.1243,0.47,0.328,POU2F1/RAD50___CDC37.zip
POU2F1,CDK12,BUB3,0.3364,0.096,0.73,0.432,POU2F1/CDK12___BUB3.zip
POU2F1,HARS2,PRPF19,0.3233,0.0647,0.55,0.23,POU2F1/HARS2___PRPF19.zip
POU2F1,FUS,GFP,0.3214,0.0751,0.69,0.39,POU2F1/FUS___GFP.zip
POU2F1,KPNA4,EMC7,0.3209,0.1972,0.45,0.382,POU2F1/KPNA4___EMC7.zip
POU2F1,BOP1,BUB3,0.3062,0.1063,0.68,0.352,POU2F1/BOP1___BUB3.zip
POU2F1,SEPTIN2,NOP2,0.3051,0.1218,0.63,0.414,POU2F1/SEPTIN2___NOP2.zip
POU2F1,CDC37,SETD1A,0.3037,0.0607,0.46,0.322,POU2F1/CDC37___SETD1A.zip
POU2F1,KPNA4,SETD1A,0.3019,0.1446,0.53,0.488,POU2F1/KPNA4___SETD1A.zip
POU2F1,EMC7,STIP1,0.3002,0.0641,0.39,0.248,POU2F1/EMC7___STIP1.zip
POU2F1,NOP2,FUS,0.2929,0.0586,0.4,0.246,POU2F1/NOP2___FUS.zip
POU2F1,CDK12,POU2F1,0.2926,0.2399,0.26,0.288,POU2F1/CDK12___POU2F1.zip
POU2F1,NBN,CDC37,0.292,0.1709,0.38,0.338,POU2F1/NBN___CDC37.zip
POU2F1,OLA1,BOP1,0.291,0.1156,0.62,0.426,POU2F1/OLA1___BOP1.zip
POU2F1,OLA1,NBN,0.2907,0.2085,0.65,0.578,POU2F1/OLA1___NBN.zip
POU2F1,CDC37,EMC7,0.2865,0.0573,0.27,0.142,POU2F1/CDC37___EMC7.zip
POU2F1,DLAT,KPNA4,0.2818,0.2087,0.54,0.488,POU2F1/DLAT___KPNA4.zip
POU2F1,EPB41,NOP2,0.2791,0.0686,0.38,0.254,POU2F1/EPB41___NOP2.zip
POU2F1,PYGB,BUB3,0.273,0.0546,0.69,0.39,POU2F1/PYGB___BUB3.zip
