source,target,screen,ilis,lis,clis,iptm,score,bundle
NBN,KPNA4,POU2F1,0.5808,0.4734,0.7125,0.74,5,POU2F1/NBN___KPNA4.zip
ERLIN1,ERLIN2,POU2F1,0.5481,0.4248,0.7073,0.6,5,POU2F1/ERLIN1___ERLIN2.zip
KPNA4,STIP1,POU2F1,0.5259,0.4223,0.6551,0.7,5,POU2F1/KPNA4___STIP1.zip
ACTR2,POU2F1,POU2F1,0.4899,0.3359,0.7143,0.8,5,POU2F1/ACTR2___POU2F1.zip
MRPL12,ENO1,POU2F1,0.4895,0.3763,0.6367,0.76,5,POU2F1/MRPL12___ENO1.zip
MRPL12,CDC37,POU2F1,0.4613,0.3097,0.6872,0.4,3,POU2F1/MRPL12___CDC37.zip
BOP1,KPNA4,POU2F1,0.46,0.3548,0.5965,0.67,5,POU2F1/BOP1___KPNA4.zip
EPB41,KPNA4,POU2F1,0.4528,0.3502,0.5853,0.65,5,POU2F1/EPB41___KPNA4.zip
EPB41,ACTR2,POU2F1,0.4508,0.377,0.5389,0.83,5,POU2F1/EPB41___ACTR2.zip
KPNA4,CDK12,POU2F1,0.4164,0.3203,0.5413,0.69,5,POU2F1/KPNA4___CDK12.zip
FUS,POU2F1,POU2F1,0.4035,0.2984,0.5458,0.27,3,POU2F1/FUS___POU2F1.zip
ACTR2,SAMM50,POU2F1,0.4034,0.2767,0.5882,0.81,5,POU2F1/ACTR2___SAMM50.zip
MTARC1,COX5B,POU2F1,0.3965,0.3143,0.5003,0.53,5,POU2F1/MTARC1___COX5B.zip
SEPTIN2,KPNA4,POU2F1,0.3952,0.2896,0.5394,0.63,5,POU2F1/SEPTIN2___KPNA4.zip
PSPC1,KPNA4,POU2F1,0.383,0.2748,0.5339,0.6,5,POU2F1/PSPC1___KPNA4.zip
BUB3,PRPF19,POU2F1,0.3777,0.266,0.5362,0.71,5,POU2F1/BUB3___PRPF19.zip
