gene,screen,is_bait,uniprot,entrez,degree,log2fc,neglogp,location,length,function
ABHD10,POU2F1,0,Q9NUJ1,55347,0,2.098,1.815,Mitochondrion,306,"Acts as an acyl-protein thioesterase that hydrolyzes fatty acids from acylated residues in proteins (PubMed:31740833). Regulates the mitochondrial S-depalmitoylation of the nucleophilic active site residue of peroxiredoxin-5/PRDX5, a key a…"
ACTN4,POU2F1,0,O43707,81,2,1.536,1.768,Nucleus,911,F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein (Probable). Probably involved in vesicular trafficking via its association with the CART complex. The CART …
ACTR2,POU2F1,0,P61160,10097,3,2.912,2.08,Nucleus,394,"ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9000076). The Arp2/3 complex mediates the formation of branched actin netw…"
BOP1,POU2F1,0,Q14137,23246,5,2.749,1.793,Nucleus,746,"Component of the PeBoW complex, which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome. ."
BUB3,POU2F1,0,O43684,9184,8,1.031,1.372,Nucleus,328,Has a dual function in spindle-assembly checkpoint signaling and in promoting the establishment of correct kinetochore-microtubule (K-MT) attachments. Promotes the formation of stable end-on bipolar attachments. Necessary for kinetochore l…
CDC37,POU2F1,0,Q16543,11140,6,2.175,1.571,Cytoplasm,378,"Co-chaperone that binds to numerous kinases and promotes their interaction with the Hsp90 complex, resulting in stabilization and promotion of their activity (PubMed:8666233). Inhibits HSP90AA1 ATPase activity (PubMed:23569206). ."
CDK12,POU2F1,0,Q9NYV4,51755,7,3.516,1.378,Nucleus,1490,"Cyclin-dependent kinase that phosphorylates the C-terminal domain (CTD) of the large subunit of RNA polymerase II (POLR2A), thereby acting as a key regulator of transcription elongation. Regulates the expression of genes involved in DNA re…"
COX5B,POU2F1,0,P10606,1329,3,1.258,1.427,Mitochondrion,129,"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII),…"
DLAT,POU2F1,0,P10515,1737,1,1.091,2.286,Mitochondrion,647,"The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links the glycolytic pathway to the tricarboxylic cycle."
EMC7,POU2F1,0,Q9NPA0,56851,3,1.372,1.456,ER/Golgi,242,"Part of the endoplasmic reticulum membrane protein complex (EMC) that enables the energy-independent insertion into endoplasmic reticulum membranes of newly synthesized membrane proteins (PubMed:30415835, PubMed:29809151, PubMed:29242231, …"
